hour_index,avg_load,dynamic_pue,total_load_mw,green_supply_mw,ref_index
0,62.72643722322919,1.193183906941927,74.84417543456013,30.882084571844835,0.41261840874773925
1,65.9758588191654,1.1850603529520864,78.18537453855717,23.011539427886525,0.294320255721719
2,64.77477485160807,1.1880630628709798,76.9565174069796,33.88561085327274,0.44032152175066425
3,72.18680787376701,1.1695329803155825,84.42485255207508,32.486631387477225,0.38479938555342774
4,78.18189867594981,1.1545452533101255,90.26454001109104,23.309570392059044,0.25823618432215945
5,89.6537396490754,1.15,103.1018005964367,34.03308536142964,0.33009205624490184
6,115.2103841825971,1.15,132.49194180998666,27.879927538880853,0.21042734492385096
7,99.10372260031309,1.15,113.96928099036005,31.839114168607168,0.27936575445536277
8,91.58739176817784,1.15,105.32550053340451,50.86581877796664,0.4829392551695901
9,92.06509189222925,1.15,105.87485567606363,64.64790127410195,0.6106067475728107
10,84.50421039042084,1.15,97.17984194898395,88.68358424794073,0.9125718098460845
11,87.9258504459082,1.15,101.11472801279442,96.37414067810711,0.9531167474031333
12,80.83958401971464,1.15,92.96552162267183,106.8359876292378,1.0
13,76.98107162080962,1.1575473209479759,89.10923321837242,100.89679307772127,1.0
14,74.6936512673086,1.1632658718317284,86.88857536176081,110.1464467638528,1.0
15,71.38736767271087,1.1715315808182227,83.63255570006265,98.95486891534449,1.0
16,66.90980025034538,1.1827254993741365,79.13592691411347,89.67009676044309,1.0
17,68.1990689974359,1.1795023275064103,80.44096061624592,70.44540720863134,0.8757405017165363
18,64.17493212969445,1.1895626696757637,76.34010359046029,56.087795249610274,0.7347094464333317
19,63.12537658767406,1.192186558530815,75.25722547002081,30.140709428348263,0.4005025330139895
20,64.98652880258327,1.1875336779935417,77.17369156896494,30.503580431400778,0.3952587962458914
21,66.44365934194984,1.1838908516451254,78.66204044475958,31.709928263277057,0.40311601484003395
22,60.3633237279286,1.1990916906801785,72.38115990399685,25.0727694588815,0.3463991112070725
23,56.082232733788835,1.2097944181655278,67.84797211959778,26.248427288312634,0.38687121321833606
